carat,cut,color,clarity,depth,table,price,x,y,z
0.55,Very Good,D,SI2,63.2,56,1368,5.24,5.21,3.3
1.04,Very Good,D,SI2,58.6,58,4906,6.65,6.72,3.92
1,Very Good,D,SI2,63.2,56,3965,6.38,6.33,4.02
0.33,Very Good,D,SI2,62.9,56,492,4.41,4.43,2.78
1.1,Very Good,D,SI2,61.6,57,5226,6.61,6.67,4.09
0.53,Very Good,D,SI2,59.3,61,1226,5.26,5.29,3.13
1.06,Very Good,D,SI2,60.9,58,4471,6.57,6.63,4.02
1.52,Very Good,D,SI2,61.2,63,8868,7.31,7.39,4.5
0.4,Very Good,D,SI2,62.8,56,666,4.7,4.73,2.96
1.5,Very Good,D,SI2,59.8,63,9959,7.44,7.38,4.43
1.55,Very Good,D,SI2,58.9,57,11284,7.59,7.63,4.48
0.93,Very Good,D,SI2,60.6,59,4214,6.3,6.34,3.83
1,Very Good,D,SI2,63.7,55,4419,6.32,6.37,4.04
0.79,Very Good,D,SI2,62.8,59,2823,5.86,5.9,3.69
2.03,Very Good,E,SI2,63,61,15690,7.99,8.04,5.05
1.01,Very Good,E,SI2,62.2,58,4575,6.36,6.43,3.98
0.59,Very Good,E,SI2,60.5,58,1325,5.43,5.51,3.31
0.3,Very Good,E,SI2,61.9,58,421,4.28,4.31,2.66
1.34,Very Good,E,SI2,62.1,63,5065,7.06,7.01,4.37
0.33,Very Good,E,SI2,60,59,463,4.47,4.49,2.69
1.01,Very Good,E,SI2,63.4,59,4299,6.32,6.26,3.99
1.05,Very Good,E,SI2,63.3,57,4763,6.5,6.46,4.1
1,Very Good,E,SI2,63.2,56,3763,6.4,6.32,4.02
0.7,Very Good,E,SI2,62.6,55,2263,5.62,5.69,3.54
1.05,Very Good,E,SI2,63.2,59,4281,6.43,6.36,4.04
1.5,Very Good,E,SI2,63.5,60,6300,7.19,7.12,4.54
0.45,Very Good,E,SI2,63.2,54,731,4.94,4.82,3.09
0.5,Very Good,E,SI2,62.8,55,1077,5.05,5.08,3.18
2,Very Good,E,SI2,59.5,58,16462,8.17,8.27,4.89
0.91,Very Good,E,SI2,62.8,61,3703,6.07,6.09,3.82
0.39,Very Good,E,SI2,59.1,56,672,4.76,4.82,2.83
1.5,Very Good,E,SI2,63.5,60,10080,7.25,7.21,4.59
1,Very Good,E,SI2,62.9,60,4781,6.3,6.35,3.98
1.08,Very Good,E,SI2,63.5,56,3726,6.53,6.48,4.13
1.51,Very Good,E,SI2,58.8,58,9727,7.53,7.61,4.45
1.05,Very Good,E,SI2,62.2,59,3816,6.44,6.51,4.03
0.57,Very Good,F,SI2,60.1,56,1235,5.4,5.42,3.25
0.79,Very Good,F,SI2,62.6,57,2655,5.84,5.86,3.66
1,Very Good,F,SI2,62.7,58,3789,6.3,6.36,3.97
0.5,Very Good,F,SI2,62.5,56,1020,5.05,5.09,3.17
0.3,Very Good,F,SI2,63.3,55,506,4.33,4.29,2.73
0.78,Very Good,F,SI2,58.3,62,2477,6.04,6.11,3.54
1.14,Very Good,F,SI2,59.2,63,5033,6.78,6.86,4.04
1.13,Very Good,F,SI2,62.3,59,4282,6.65,6.68,4.15
0.9,Very Good,F,SI2,61.6,58,3519,6.15,6.23,3.81
1,Very Good,F,SI2,61.6,62,4255,6.3,6.37,3.9
0.51,Very Good,F,SI2,62.7,56,1070,5.06,5.08,3.18
1.02,Very Good,F,SI2,60.4,60,4162,6.49,6.53,3.93
0.78,Very Good,F,SI2,62.2,59,2550,5.89,5.94,3.68
0.62,Very Good,F,SI2,63.1,52,1348,5.39,5.53,3.45
1,Very Good,F,SI2,61.3,61,4372,6.36,6.39,3.91
0.91,Very Good,F,SI2,63.1,56,3489,6.13,6.17,3.88
1.01,Very Good,F,SI2,63.1,57,4072,6.37,6.3,4
1.32,Very Good,G,SI2,61.6,57,7173,6.98,7.05,4.32
0.72,Very Good,G,SI2,63.4,57,2001,5.67,5.71,3.61
0.79,Very Good,G,SI2,63.4,60,1809,5.83,5.77,3.68
0.96,Very Good,G,SI2,62.6,59,3723,6.18,6.29,3.9
2.04,Very Good,G,SI2,61.4,58,15092,8.04,8.11,4.96
0.4,Very Good,G,SI2,63.1,59,765,4.7,4.65,2.95
0.74,Very Good,G,SI2,62.8,59,2262,5.71,5.76,3.6
1.51,Very Good,G,SI2,62.4,56,9069,7.25,7.29,4.54
0.41,Very Good,G,SI2,59.6,60,621,4.82,4.85,2.88
0.31,Very Good,G,SI2,63.2,55,523,4.33,4.31,2.73
1.51,Very Good,G,SI2,61.7,54,8973,7.37,7.41,4.56
2.01,Very Good,G,SI2,61.3,60,13940,8.08,8.17,4.98
0.8,Very Good,G,SI2,63,55,2616,5.92,5.95,3.74
1.58,Very Good,G,SI2,60,53,9037,7.59,7.64,4.57
1.24,Very Good,G,SI2,63.3,57,4462,6.85,6.79,4.32
2.01,Very Good,G,SI2,63.3,58,15563,8.01,8.05,5.08
2.7,Very Good,H,SI2,63.1,56,14341,8.84,8.78,5.56
1.51,Very Good,H,SI2,60.8,58,7723,7.4,7.51,4.53
1.17,Very Good,H,SI2,62.7,56,4826,6.68,6.74,4.21
0.7,Very Good,H,SI2,60.9,58,1895,5.68,5.74,3.48
0.71,Very Good,H,SI2,63.2,58,2259,5.63,5.67,3.57
1.2,Very Good,H,SI2,60.7,60,4831,6.81,6.89,4.16
0.7,Very Good,H,SI2,62.8,59,2034,5.62,5.65,3.54
1.24,Very Good,H,SI2,63.2,55,5486,6.88,6.83,4.33
0.9,Very Good,H,SI2,59.5,63,3105,6.31,6.26,3.74
0.9,Very Good,H,SI2,62.3,61,3481,6.15,6.17,3.84
1.13,Very Good,H,SI2,62.7,55,4661,6.61,6.69,4.17
1.01,Very Good,H,SI2,63.4,57,3592,6.39,6.32,4.03
1.52,Very Good,H,SI2,62.7,57,8194,7.32,7.36,4.6
1.05,Very Good,H,SI2,63,59,4158,6.44,6.48,4.07
1.34,Very Good,H,SI2,61.1,63,4352,7.08,7.01,4.3
1.31,Very Good,H,SI2,61.7,59,6263,6.96,7.01,4.31
2.04,Very Good,H,SI2,60.8,58,14810,8.14,8.23,4.98
1.04,Very Good,I,SI2,61.6,58,3449,6.47,6.58,4.02
2.1,Very Good,I,SI2,60.6,60,12612,8.29,8.33,5.04
0.51,Very Good,I,SI2,63.3,58,995,5.09,5.02,3.2
1.31,Very Good,I,SI2,59.6,60,5187,7.09,7.17,4.25
1.21,Very Good,I,SI2,63.4,62,3964,6.84,6.69,4.31
1.11,Very Good,I,SI2,63.7,58,3882,6.57,6.53,4.17
1.51,Very Good,I,SI2,62.9,58,7139,7.24,7.3,4.57
0.9,Very Good,I,SI2,60.4,58,3099,6.25,6.31,3.79
1.75,Very Good,I,SI2,61.2,57,10098,7.71,7.76,4.73
1.02,Very Good,I,SI2,62.6,56,4084,6.41,6.44,4.02
0.71,Very Good,J,SI2,61.1,58,1764,5.67,5.76,3.49
1.64,Very Good,J,SI2,62.5,58,7409,7.48,7.56,4.7
2.25,Very Good,J,SI2,58.4,63,13597,8.6,8.65,5.04
2.01,Very Good,J,SI2,63.4,59,11660,7.99,7.95,5.05
1.57,Very Good,J,SI2,62.1,60,6702,7.37,7.41,4.59
2.1,Very Good,J,SI2,59.1,58,12381,8.4,8.46,4.98
1.01,Premium,D,SI2,61.5,56,4805,6.46,6.39,3.95
0.92,Premium,D,SI2,62.4,60,4096,6.25,6.21,3.89
0.43,Premium,D,SI2,60.7,58,919,4.91,4.85,2.96
0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67,3.51
0.52,Premium,D,SI2,62.4,59,1385,5.15,5.05,3.18
1.01,Premium,D,SI2,60.8,61,4338,6.5,6.45,3.94
0.5,Premium,D,SI2,62.1,57,1279,5.12,5.09,3.17
0.43,Premium,D,SI2,62.6,58,716,4.79,4.82,3.01
0.7,Premium,D,SI2,58.3,61,2167,5.74,5.7,3.33
0.42,Premium,D,SI2,60,61,898,4.89,4.85,2.92
0.4,Premium,D,SI2,63,59,798,4.69,4.64,2.94
0.79,Premium,D,SI2,60,60,2853,6.07,6.03,3.63
0.3,Premium,D,SI2,62.2,59,574,4.3,4.25,2.66
1.18,Premium,D,SI2,61.8,58,4211,6.83,6.7,4.19
1.02,Premium,D,SI2,59.7,60,5198,6.58,6.55,3.92
1.24,Premium,D,SI2,59.1,59,5969,7.03,6.98,4.14
0.7,Premium,D,SI2,60.4,60,2573,5.74,5.79,3.48
1.14,Premium,D,SI2,62.4,58,4513,6.67,6.7,4.17
0.33,Premium,D,SI2,62.7,58,492,4.39,4.41,2.76
1.3,Premium,D,SI2,60.2,59,7002,7,7.05,4.23
1.74,Premium,D,SI2,61.9,58,12052,7.73,7.67,4.77
0.55,Premium,E,SI2,58.4,61,1134,5.37,5.31,3.12
0.91,Premium,E,SI2,61.1,59,3639,6.24,6.2,3.8
0.74,Premium,E,SI2,62.6,58,2617,5.77,5.73,3.6
1.22,Premium,E,SI2,61.5,58,6012,6.84,6.86,4.21
0.79,Premium,E,SI2,61,58,2868,5.96,5.9,3.62
0.49,Premium,E,SI2,61.7,57,949,5.08,5.06,3.13
0.96,Premium,E,SI2,60.4,56,2961,6.32,6.23,3.79
1.21,Premium,E,SI2,61,58,4933,6.93,6.88,4.21
0.8,Premium,E,SI2,59.1,61,2304,6.03,5.99,3.55
1.5,Premium,E,SI2,61,58,9450,7.35,7.3,4.47
1,Premium,E,SI2,61,59,3752,6.4,6.33,3.89
0.63,Premium,E,SI2,58.5,61,1775,5.64,5.58,3.28
0.31,Premium,E,SI2,61.2,61,558,4.37,4.36,2.67
1.13,Premium,E,SI2,61.4,59,4936,6.78,6.7,4.14
1.09,Premium,E,SI2,61.4,58,5127,6.67,6.63,4.08
0.43,Premium,E,SI2,60.8,58,716,4.86,4.88,2.96
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27
0.57,Premium,E,SI2,61,60,1228,5.32,5.36,3.26
0.55,Premium,E,SI2,59.7,58,1269,5.33,5.35,3.19
2.05,Premium,E,SI2,58.6,59,17066,8.43,8.36,4.92
0.47,Premium,E,SI2,58.7,60,1072,5.13,5.09,3
0.32,Premium,E,SI2,61.2,58,449,4.39,4.44,2.7
2.57,Premium,E,SI2,61.3,60,17116,8.82,8.73,5.38
0.71,Premium,E,SI2,62.2,57,2386,5.74,5.68,3.55
2.06,Premium,E,SI2,58.8,58,14634,8.42,8.35,4.93
1.12,Premium,E,SI2,61.1,58,5620,6.73,6.69,4.1
1.02,Premium,F,SI2,59.9,59,4238,6.59,6.56,3.94
1.2,Premium,F,SI2,62.7,60,4274,6.73,6.67,4.21
1.4,Premium,F,SI2,59.9,60,7479,7.38,7.29,4.39
0.52,Premium,F,SI2,61.7,58,1111,5.12,5.16,3.17
1.65,Premium,F,SI2,60.5,61,9693,7.7,7.65,4.64
0.97,Premium,F,SI2,61.9,58,3993,6.35,6.31,3.92
1.01,Premium,F,SI2,61.7,60,4533,6.36,6.42,3.94
1.47,Premium,F,SI2,61.6,60,8314,7.38,7.33,4.53
1,Premium,F,SI2,60.4,58,3858,6.47,6.44,3.9
1.51,Premium,F,SI2,59.9,58,9471,7.53,7.46,4.49
0.5,Premium,F,SI2,62.2,54,1094,5.14,5.08,3.18
1.24,Premium,F,SI2,61.4,58,5889,6.94,6.9,4.25
1.03,Premium,F,SI2,62.2,60,3668,6.47,6.45,4.02
0.9,Premium,F,SI2,60.3,55,3704,6.35,6.28,3.81
1.01,Premium,F,SI2,60,59,4497,6.61,6.48,3.93
0.51,Premium,F,SI2,61.1,59,1227,5.15,5.09,3.13
0.78,Premium,F,SI2,62.8,56,2200,5.9,5.86,3.69
0.91,Premium,F,SI2,63,59,3346,6.17,6.12,3.87
1.31,Premium,F,SI2,62.7,61,4743,7.03,6.86,4.36
0.34,Premium,F,SI2,63,58,574,4.47,4.45,2.81
1.02,Premium,F,SI2,62.7,59,4227,6.45,6.38,4.02
0.75,Premium,F,SI2,62.2,58,2501,5.87,5.8,3.57
1,Premium,F,SI2,60.2,62,3858,6.53,6.45,3.91
2.21,Premium,F,SI2,59.6,60,16657,8.53,8.49,5.07
1.01,Premium,F,SI2,61,60,4197,6.48,6.44,3.94
1.01,Premium,F,SI2,62.6,54,4468,6.38,6.34,3.98
0.7,Premium,G,SI2,61.1,60,2177,5.67,5.62,3.45
1.5,Premium,G,SI2,60.7,61,8736,7.36,7.33,4.46
0.32,Premium,G,SI2,62.7,58,421,4.35,4.39,2.74
0.7,Premium,G,SI2,61,58,1875,5.75,5.72,3.5
0.95,Premium,G,SI2,59.8,60,3181,6.36,6.34,3.8
1.01,Premium,G,SI2,60.1,58,3173,6.54,6.39,3.89
0.7,Premium,G,SI2,58.5,60,2268,5.85,5.81,3.41
0.5,Premium,G,SI2,61.9,58,1006,5.12,5.09,3.16
0.74,Premium,G,SI2,62.5,56,2398,5.81,5.75,3.61
0.93,Premium,G,SI2,61.7,60,3802,6.25,6.2,3.84
1.07,Premium,G,SI2,59.8,60,4201,6.65,6.7,3.99
1.01,Premium,G,SI2,61.8,58,4038,6.39,6.36,3.94
1.25,Premium,G,SI2,61.1,58,4340,6.96,6.91,4.24
0.7,Premium,G,SI2,60,60,2268,5.69,5.65,3.51
1.01,Premium,G,SI2,62.7,58,4327,6.44,6.38,4.02
0.92,Premium,G,SI2,62.3,59,3377,6.15,6.2,3.85
0.94,Premium,G,SI2,63,59,3099,6.16,6.1,3.86
0.32,Premium,G,SI2,61,59,540,4.42,4.36,2.68
0.55,Premium,G,SI2,60.3,58,1186,5.35,5.33,3.22
1.21,Premium,G,SI2,62.7,59,5405,6.74,6.66,4.2
0.81,Premium,G,SI2,62.5,57,2515,5.95,5.89,3.7
1.04,Premium,G,SI2,60.6,59,3896,6.6,6.56,3.99
1.26,Premium,G,SI2,59.1,59,5899,7.09,7.05,4.18
1.22,Premium,G,SI2,61.9,58,5739,6.88,6.79,4.23
0.71,Premium,G,SI2,58.2,60,1902,5.91,5.88,3.43
1.2,Premium,H,SI2,62.5,58,5280,6.76,6.81,4.24
1.33,Premium,H,SI2,61.9,58,5214,7.07,7.01,4.36
0.41,Premium,H,SI2,62.2,56,836,4.8,4.72,2.96
1.27,Premium,H,SI2,59.3,61,2845,7.12,7.05,4.2
2,Premium,H,SI2,60.7,60,15312,8.07,8.11,4.91
2.01,Premium,H,SI2,61.9,59,11646,8.13,7.97,4.98
1.12,Premium,H,SI2,61.9,58,4704,6.74,6.66,4.15
1.73,Premium,H,SI2,60.5,60,6968,7.79,7.71,4.69
0.53,Premium,H,SI2,62.5,60,1015,5.16,5.18,3.23
2.14,Premium,H,SI2,61.2,57,13421,8.36,8.32,5.1
0.7,Premium,H,SI2,62.8,59,2142,5.65,5.62,3.54
0.34,Premium,H,SI2,58.6,62,536,4.62,4.6,2.7
0.91,Premium,H,SI2,60.9,61,3453,6.24,6.18,3.78
0.3,Premium,H,SI2,61.9,60,485,4.29,4.27,2.65
1.02,Premium,H,SI2,62.4,59,3998,6.42,6.37,3.99
1.52,Premium,H,SI2,58.7,62,8127,7.6,7.53,4.44
1.02,Premium,H,SI2,60.9,58,4113,6.53,6.41,3.94
2.01,Premium,H,SI2,62.5,62,11825,8.09,8.04,5.04
1.21,Premium,H,SI2,60.6,56,5140,6.92,6.84,4.17
1.47,Premium,H,SI2,59.3,59,7573,7.39,7.34,4.37
0.58,Premium,H,SI2,59,61,1066,5.45,5.42,3.21
1.2,Premium,H,SI2,62.5,58,5376,6.81,6.76,4.24
0.8,Premium,H,SI2,62.2,58,2346,5.99,5.93,3.71
1.04,Premium,H,SI2,61.5,59,4368,6.54,6.51,4.01
2.21,Premium,H,SI2,62.9,60,13369,8.27,8.23,5.19
0.75,Premium,H,SI2,62.3,57,2234,5.79,5.73,3.59
1.22,Premium,I,SI2,61.7,59,4735,6.84,6.8,4.21
1.16,Premium,I,SI2,62.1,58,4326,6.78,6.71,4.19
1,Premium,I,SI2,62.6,56,3830,6.4,6.34,3.99
1.31,Premium,I,SI2,63,58,5612,6.97,6.93,4.38
2,Premium,I,SI2,60,58,10976,8.23,8.17,4.92
1.22,Premium,I,SI2,61.5,61,4735,6.89,6.83,4.22
0.81,Premium,I,SI2,61.5,60,1786,5.94,5.9,3.64
3.01,Premium,I,SI2,60.2,59,18242,9.36,9.31,5.62
0.41,Premium,I,SI2,60.6,59,600,4.84,4.8,2.92
2.19,Premium,I,SI2,60.8,60,15169,8.38,8.34,5.08
2.01,Premium,I,SI2,62,56,12338,8.01,7.87,4.92
1.1,Premium,I,SI2,62.9,59,3604,6.6,6.53,4.13
1.73,Premium,I,SI2,62,60,9207,7.67,7.63,4.74
1.51,Premium,I,SI2,62.6,59,7162,7.28,7.31,4.57
1.55,Premium,I,SI2,61.5,58,7256,7.39,7.46,4.57
1.39,Premium,I,SI2,61.9,59,4826,7.15,7.11,4.41
1.22,Premium,J,SI2,62.6,59,3156,6.79,4.24,3.76
1.21,Premium,J,SI2,60.9,60,4440,6.82,6.78,4.14
1.21,Premium,J,SI2,60.8,58,3984,6.93,6.88,4.19
1.22,Premium,J,SI2,62.1,59,4509,6.82,6.77,4.22
2,Premium,J,SI2,59.8,60,11899,8.13,8.09,4.85
0.9,Premium,J,SI2,63,59,2717,6.14,6.11,3.86
1.78,Premium,J,SI2,62.6,58,8889,7.78,7.72,4.85
1.5,Premium,J,SI2,62.6,56,5268,7.24,7.11,4.51
0.57,Ideal,D,SI2,61.4,56,1413,5.33,5.38,3.29
1.03,Ideal,D,SI2,60.7,58,5836,6.51,6.53,3.96
0.71,Ideal,D,SI2,61.6,56,2690,5.78,5.82,3.57
2.01,Ideal,D,SI2,62.1,56,18674,8.02,8.11,5.01
0.57,Ideal,D,SI2,61.9,56,1359,5.3,5.34,3.3
0.89,Ideal,D,SI2,60.8,56,4192,6.22,6.25,3.79
0.91,Ideal,D,SI2,62.6,54,4067,6.22,6.25,3.9
0.83,Ideal,D,SI2,62.1,56,3207,6,6.04,3.74
0.31,Ideal,D,SI2,62.8,53,593,4.37,4.35,2.74
0.3,Ideal,D,SI2,60.2,56,447,4.37,4.4,2.64
0.78,Ideal,D,SI2,61.3,56,2722,5.95,5.99,3.66
1.22,Ideal,D,SI2,61.8,58,6372,6.84,6.92,4.25
0.36,Ideal,D,SI2,62.3,57,537,4.52,4.57,2.83
1.03,Ideal,D,SI2,60.7,55,4839,6.61,6.53,3.99
1.77,Ideal,D,SI2,60.9,53,10051,7.92,7.85,4.8
0.31,Ideal,D,SI2,62,56,462,4.33,4.35,2.69
1.16,Ideal,D,SI2,62.5,56,5615,6.7,6.8,4.23
0.56,Ideal,D,SI2,60,58,1568,5.42,5.38,3.24
1.04,Ideal,E,SI2,62,55,4892,6.51,6.48,4.03
1.16,Ideal,E,SI2,62.7,56,5093,6.73,6.69,4.21
0.45,Ideal,E,SI2,61.5,55,706,4.92,4.97,3.04
1.07,Ideal,E,SI2,61.5,56,5602,6.58,6.61,4.06
0.54,Ideal,E,SI2,62.1,56,1163,5.18,5.22,3.23
1.02,Ideal,E,SI2,61.6,56,4465,6.48,6.55,3.99
0.51,Ideal,E,SI2,62.7,53,1177,5.09,5.12,3.2
0.7,Ideal,E,SI2,62.2,56,2560,5.67,5.64,3.52
0.42,Ideal,E,SI2,62.9,56,898,4.8,4.77,3.01
0.72,Ideal,E,SI2,62.4,57,2939,5.71,5.74,3.57
1.27,Ideal,E,SI2,60.8,57,7023,7,7.02,4.26
0.32,Ideal,E,SI2,62,55,449,4.36,4.41,2.72
0.71,Ideal,E,SI2,61.5,57,2470,5.74,5.78,3.54
1.07,Ideal,E,SI2,62.2,55,5325,6.54,6.58,4.08
1.06,Ideal,E,SI2,60.7,57,3977,6.61,6.59,4
1.02,Ideal,E,SI2,62.7,57,4585,6.35,6.44,4.01
0.32,Ideal,E,SI2,62.7,57,576,4.37,4.34,2.73
0.91,Ideal,E,SI2,61.1,58,3723,6.25,6.29,3.83
